sido,sido,sigungu,year,price_median,price_avg,parcels
세종특별자치시,세종특별자치시,,2009,34108,65131,174268
세종특별자치시,세종특별자치시,,2010,33137,64208,174801
세종특별자치시,세종특별자치시,,2011,33316,64770,180204
세종특별자치시,세종특별자치시,,2012,34774,69740,183156
세종특별자치시,세종특별자치시,,2013,38751,93828,187113
세종특별자치시,세종특별자치시,,2014,42330,84719,174680
세종특별자치시,세종특별자치시,,2015,49232,98385,177466
세종특별자치시,세종특별자치시,,2016,57666,122258,181333
세종특별자치시,세종특별자치시,,2017,60743,127855,179502
세종특별자치시,세종특별자치시,,2018,65602,138874,179622
세종특별자치시,세종특별자치시,,2019,70821,150232,181832
세종특별자치시,세종특별자치시,,2020,74375,158616,184483
세종특별자치시,세종특별자치시,,2021,82201,181331,186429
세종특별자치시,세종특별자치시,,2022,92508,202796,187451
세종특별자치시,세종특별자치시,,2023,86824,193635,180309
세종특별자치시,세종특별자치시,,2024,88607,196811,182406
세종특별자치시,세종특별자치시,,2025,90773,201758,183340
세종특별자치시,세종특별자치시,,2026,92444,206014,185564
울산광역시,울산광역시,,1990,13345,110140,285880
울산광역시,울산광역시,,1991,14826,130362,298503
울산광역시,울산광역시,,1992,15952,145293,298655
울산광역시,울산광역시,,1993,15530,146199,305266
울산광역시,울산광역시,,1994,14771,137319,312825
울산광역시,울산광역시,,1995,15223,136122,319947
울산광역시,울산광역시,,1996,16045,136050,327982
울산광역시,울산광역시,,1997,17303,136102,334537
울산광역시,울산광역시,,1998,17912,133591,340535
울산광역시,울산광역시,,1999,16947,119293,342643
울산광역시,울산광역시,,2000,17595,119731,344792
울산광역시,울산광역시,,2001,18037,118616,350011
울산광역시,울산광역시,,2002,19060,119687,353877
울산광역시,울산광역시,,2003,21153,123979,350477
울산광역시,울산광역시,,2004,25423,130107,353727
울산광역시,울산광역시,,2005,33526,137509,356003
울산광역시,울산광역시,,2006,36290,134323,317925
울산광역시,울산광역시,,2007,57599,172783,365348
울산광역시,울산광역시,,2008,62557,187474,371707
울산광역시,울산광역시,,2009,60498,183664,379092
울산광역시,울산광역시,,2010,60228,183234,384735
울산광역시,울산광역시,,2011,61217,184587,386432
울산광역시,울산광역시,,2012,65119,196793,384225
울산광역시,울산광역시,,2013,69977,213878,388463
울산광역시,울산광역시,,2014,74109,231905,396929
울산광역시,울산광역시,,2015,78227,248190,405865
울산광역시,울산광역시,,2016,82249,269717,413490
울산광역시,울산광역시,,2017,86253,284715,419440
울산광역시,울산광역시,,2018,93306,303228,422553
울산광역시,울산광역시,,2019,100426,321301,425727
울산광역시,울산광역시,,2020,104024,329749,429423
울산광역시,울산광역시,,2021,112557,360930,432022
울산광역시,울산광역시,,2022,122605,393488,434436
울산광역시,울산광역시,,2023,113778,366422,435948
울산광역시,울산광역시,,2024,112700,365809,437472
울산광역시,울산광역시,,2025,113675,371678,439799
울산광역시,울산광역시,,2026,113591,375506,439294
인천광역시,인천광역시,,1990,15434,154394,435527
인천광역시,인천광역시,,1991,23884,207374,441771
인천광역시,인천광역시,,1992,26126,239281,443569
인천광역시,인천광역시,,1993,27974,235145,452115
인천광역시,인천광역시,,1994,28185,221447,473287
인천광역시,인천광역시,,1995,30893,222389,479488
인천광역시,인천광역시,,1996,33181,221469,494789
인천광역시,인천광역시,,1997,32061,229657,517517
인천광역시,인천광역시,,1998,38486,220553,523002
인천광역시,인천광역시,,1999,42588,203395,518335
인천광역시,인천광역시,,2000,42866,207195,522408
인천광역시,인천광역시,,2001,42264,206098,531875
인천광역시,인천광역시,,2002,44677,209798,533859
인천광역시,인천광역시,,2003,49241,227633,538104
인천광역시,인천광역시,,2004,58774,252789,539034
인천광역시,인천광역시,,2005,75115,274026,541868
인천광역시,인천광역시,,2006,73688,275928,488956
인천광역시,인천광역시,,2007,98522,314302,591659
인천광역시,인천광역시,,2008,94431,344877,599183
인천광역시,인천광역시,,2009,94763,350998,602744
인천광역시,인천광역시,,2010,101150,365638,605533
인천광역시,인천광역시,,2011,104052,373910,610578
인천광역시,인천광역시,,2012,111830,394820,613825
인천광역시,인천광역시,,2013,113743,396783,614495
인천광역시,인천광역시,,2014,114792,404889,619177
